X,Algorithm,value
100,AdaHT,27
20,AdaHT,32
40,AdaHT,28
50,AdaHT,26
60,AdaHT,30
80,AdaHT,33
100,ASHT,0
100,BagAdaHT,26.2
20,BagAdaHT,26.0
40,BagAdaHT,25.6
50,BagAdaHT,28.8
60,BagAdaHT,28.4
80,BagAdaHT,29.8
100,BagAdwin,28.6
20,BagAdwin,27.6
40,BagAdwin,25.2
50,BagAdwin,23.6
60,BagAdwin,26.2
80,BagAdwin,28.8
100,BagASHT,2.4
20,BagASHT,2.2
40,BagASHT,0.4
50,BagASHT,1.6
60,BagASHT,2.2
80,BagASHT,1.4
100,BagHT,24.2
20,BagHT,26.8
40,BagHT,22.8
50,BagHT,26.2
60,BagHT,25.2
80,BagHT,27.0
100,BagSRHT,2.6
20,BagSRHT,1.0
40,BagSRHT,1.8
50,BagSRHT,1.8
60,BagSRHT,1.2
80,BagSRHT,0.0
100,BoostAdaHT,23.4
20,BoostAdaHT,23.6
40,BoostAdaHT,23.0
50,BoostAdaHT,21.4
60,BoostAdaHT,23.4
80,BoostAdaHT,24.8
100,BoostHT,0.0
20,BoostHT,0.0
40,BoostHT,0.0
50,BoostHT,0.0
60,BoostHT,0.0
80,BoostHT,0.0
100,HT,27
20,HT,28
40,HT,23
50,HT,25
60,HT,25
80,HT,27
