X,Algorithm,value
100,AdaHT,84.04
20,AdaHT,75.07
40,AdaHT,78.05
50,AdaHT,80.52
60,AdaHT,77.84
80,AdaHT,75.19
100,ASHT,29.55
100,BagAdaHT,87.6
20,BagAdaHT,84.57
40,BagAdaHT,83.81
50,BagAdaHT,83.1
60,BagAdaHT,86.93
80,BagAdaHT,83.32
100,BagAdwin,85.69
20,BagAdwin,83.9
40,BagAdwin,78.38
50,BagAdwin,86.99
60,BagAdwin,83.53
80,BagAdwin,81.56
100,BagASHT,33.8
20,BagASHT,36.77
40,BagASHT,40.14
50,BagASHT,40.35
60,BagASHT,40.83
80,BagASHT,51.46
100,BagHT,36.0
20,BagHT,87.38
40,BagHT,88.58
50,BagHT,82.89
60,BagHT,88.23
80,BagHT,83.95
100,BagSRHT,36.64
20,BagSRHT,37.37
40,BagSRHT,39.29
50,BagSRHT,41.74
60,BagSRHT,39.94
80,BagSRHT,36.89
100,BoostAdaHT,80.07
20,BoostAdaHT,84.76
40,BoostAdaHT,83.91
50,BoostAdaHT,85.81
60,BoostAdaHT,85.33
80,BoostAdaHT,87.89
100,BoostHT,84.88
20,BoostHT,86.77
40,BoostHT,84.61
50,BoostHT,79.63
60,BoostHT,86.06
80,BoostHT,83.57
100,HT,78.77
20,HT,84.3
40,HT,83.61
50,HT,80.62
60,HT,82.15
80,HT,76.91
