X,Algorithm,value
100,AdaHT,4916
20,AdaHT,4854
40,AdaHT,4763
50,AdaHT,4949
60,AdaHT,4891
80,AdaHT,4792
100,ASHT,4
100,BagAdaHT,25303
20,BagAdaHT,24994
40,BagAdaHT,25930
50,BagAdaHT,25090
60,BagAdaHT,24491
80,BagAdaHT,24922
100,BagAdwin,13628
20,BagAdwin,14146
40,BagAdwin,14615
50,BagAdwin,14307
60,BagAdwin,13404
80,BagAdwin,14629
100,BagASHT,139
20,BagASHT,125
40,BagASHT,34
50,BagASHT,118
60,BagASHT,167
80,BagASHT,97
100,BagHT,13460
20,BagHT,14559
40,BagHT,14587
50,BagHT,14377
60,BagHT,13586
80,BagHT,14902
100,BagSRHT,139
20,BagSRHT,55
40,BagSRHT,118
50,BagSRHT,111
60,BagSRHT,83
80,BagSRHT,20
100,BoostAdaHT,25961
20,BoostAdaHT,27391
40,BoostAdaHT,23933
50,BoostAdaHT,24277
60,BoostAdaHT,24287
80,BoostAdaHT,28574
100,BoostHT,15679
20,BoostHT,15910
40,BoostHT,15413
50,BoostHT,14223
60,BoostHT,15896
80,BoostHT,14839
100,HT,2972
20,HT,2860
40,HT,2566
50,HT,2832
60,HT,2888
80,HT,2867
