X,Algorithm,value
100,AdaHT,82.318
20,AdaHT,85.046
40,AdaHT,82.369
50,AdaHT,84.236
60,AdaHT,91.401
80,AdaHT,91.37
100,ASHT,76.023
100,BagAdaHT,192.771
20,BagAdaHT,186.999
40,BagAdaHT,188.935
50,BagAdaHT,192.453
60,BagAdaHT,188.363
80,BagAdaHT,194.269
100,BagAdwin,121.697
20,BagAdwin,126.627
40,BagAdwin,129.32
50,BagAdwin,136.61
60,BagAdwin,122.411
80,BagAdwin,126.389
100,BagASHT,116.76
20,BagASHT,117.622
40,BagASHT,115.168
50,BagASHT,118.085
60,BagASHT,117.314
80,BagASHT,113.429
100,BagHT,117.476
20,BagHT,111.605
40,BagHT,113.325
50,BagHT,118.809
60,BagHT,113.13
80,BagHT,114.24
100,BagSRHT,167.341
20,BagSRHT,168.057
40,BagSRHT,170.981
50,BagSRHT,162.554
60,BagSRHT,169.2
80,BagSRHT,163.198
100,BoostAdaHT,181.265
20,BoostAdaHT,192.506
40,BoostAdaHT,225.83
50,BoostAdaHT,176.038
60,BoostAdaHT,218.185
80,BoostAdaHT,226.725
100,BoostHT,130.273
20,BoostHT,118.72
40,BoostHT,117.796
50,BoostHT,123.47
60,BoostHT,119.973
80,BoostHT,120.098
100,HT,63.913
20,HT,62.688
40,HT,62.968
50,HT,63.095
60,HT,63.158
80,HT,63.451
