X,Algorithm,value
100,AdaHT,1093
20,AdaHT,1079
40,AdaHT,1059
50,AdaHT,1109
60,AdaHT,1087
80,AdaHT,1071
100,ASHT,1
100,BagAdaHT,5689
20,BagAdaHT,5559
40,BagAdaHT,5767
50,BagAdaHT,5579
60,BagAdaHT,5457
80,BagAdaHT,5541
100,BagAdwin,3893
20,BagAdwin,4041
40,BagAdwin,4175
50,BagAdwin,4087
60,BagAdwin,3829
80,BagAdwin,4179
100,BagASHT,39
20,BagASHT,35
40,BagASHT,9
50,BagASHT,33
60,BagASHT,47
80,BagASHT,27
100,BagHT,3845
20,BagHT,4159
40,BagHT,4167
50,BagHT,4107
60,BagHT,3881
80,BagHT,4257
100,BagSRHT,39
20,BagSRHT,15
40,BagSRHT,33
50,BagSRHT,31
60,BagSRHT,23
80,BagSRHT,5
100,BoostAdaHT,6112
20,BoostAdaHT,6677
40,BoostAdaHT,6637
50,BoostAdaHT,7001
60,BoostAdaHT,6917
80,BoostAdaHT,7125
100,BoostHT,4479
20,BoostHT,4545
40,BoostHT,4403
50,BoostHT,4063
60,BoostHT,4541
80,BoostHT,4239
100,HT,849
20,HT,817
40,HT,733
50,HT,809
60,HT,825
80,HT,819
