X,Algorithm,value
0.001,AdaHT,5
0.005,AdaHT,5
0.01,AdaHT,14
0.05,AdaHT,68
0.1,AdaHT,2803
0.05,ASHT,4
0.001,BagAdaHT,25
0.005,BagAdaHT,226
0.01,BagAdaHT,214
0.05,BagAdaHT,8422
0.1,BagAdaHT,26761
0.001,BagAdwin,20
0.005,BagAdwin,20
0.01,BagAdwin,20
0.05,BagAdwin,34
0.1,BagAdwin,69
0.001,BagASHT,97
0.005,BagASHT,97
0.01,BagASHT,97
0.05,BagASHT,97
0.1,BagASHT,97
0.001,BagHT,20
0.005,BagHT,216
0.01,BagHT,615
0.05,BagHT,12697
0.1,BagHT,48124
0.001,BagSRHT,20
0.005,BagSRHT,111
0.01,BagSRHT,48
0.05,BagSRHT,125
0.1,BagSRHT,125
0.001,BoostAdaHT,25
0.005,BoostAdaHT,137
0.01,BoostAdaHT,191
0.05,BoostAdaHT,13744
0.1,BoostAdaHT,16254
0.001,BoostHT,20
0.005,BoostHT,188
0.01,BoostHT,622
0.05,BoostHT,12718
0.1,BoostHT,47998
0.001,HT,4
0.005,HT,32
0.01,HT,123
0.05,HT,2538
0.1,HT,9405
