X,Algorithm,value
0.001,AdaHT,1
0.005,AdaHT,-5
0.01,AdaHT,-4
0.05,AdaHT,772
0.1,AdaHT,1998
0.05,ASHT,1
0.001,BagAdaHT,5
0.005,BagAdaHT,34
0.01,BagAdaHT,102
0.05,BagAdaHT,4277
0.1,BagAdaHT,12975
0.001,BagAdwin,5
0.005,BagAdwin,5
0.01,BagAdwin,5
0.05,BagAdwin,9
0.1,BagAdwin,19
0.001,BagASHT,27
0.005,BagASHT,27
0.01,BagASHT,27
0.05,BagASHT,27
0.1,BagASHT,27
0.001,BagHT,5
0.005,BagHT,61
0.01,BagHT,175
0.05,BagHT,3627
0.1,BagHT,13749
0.001,BagSRHT,5
0.005,BagSRHT,31
0.01,BagSRHT,13
0.05,BagSRHT,35
0.1,BagSRHT,35
0.001,BoostAdaHT,5
0.005,BoostAdaHT,12
0.01,BoostAdaHT,19
0.05,BoostAdaHT,3576
0.1,BoostAdaHT,15660
0.001,BoostHT,5
0.005,BoostHT,53
0.01,BoostHT,177
0.05,BoostHT,3633
0.1,BoostHT,13713
0.001,HT,1
0.005,HT,9
0.01,HT,35
0.05,HT,725
0.1,HT,2687
