X,Algorithm,value
0.001,AdaHT,78.37
0.005,AdaHT,83.89
0.01,AdaHT,81.75
0.05,AdaHT,92.02
0.1,AdaHT,90.89
0.05,ASHT,66.94
0.001,BagAdaHT,82.21
0.005,BagAdaHT,83.65
0.01,BagAdaHT,88.5
0.05,BagAdaHT,93.99
0.1,BagAdaHT,94.38
0.001,BagAdwin,64.75
0.005,BagAdwin,82.85
0.01,BagAdwin,88.37
0.05,BagAdwin,92.95
0.1,BagAdwin,93.49
0.001,BagASHT,76.15
0.005,BagASHT,79.85
0.01,BagASHT,75.92
0.05,BagASHT,77.83
0.1,BagASHT,72.82
0.001,BagHT,80.48
0.005,BagHT,79.07
0.01,BagHT,88.49
0.05,BagHT,92.0
0.1,BagHT,91.92
0.001,BagSRHT,72.04
0.005,BagSRHT,74.44
0.01,BagSRHT,76.57
0.05,BagSRHT,78.61
0.1,BagSRHT,79.42
0.001,BoostAdaHT,84.12
0.005,BoostAdaHT,77.87
0.01,BoostAdaHT,89.96
0.05,BoostAdaHT,90.14
0.1,BoostAdaHT,92.54
0.001,BoostHT,83.25
0.005,BoostHT,84.22
0.01,BoostHT,86.1
0.05,BoostHT,92.9
0.1,BoostHT,92.96
0.001,HT,75.09
0.005,HT,72.6
0.01,HT,82.19
0.05,HT,90.23
0.1,HT,92.44
