X,Algorithm,value
0.001,AdaHT,9
0.005,AdaHT,10
0.01,AdaHT,13
0.05,AdaHT,27
0.1,AdaHT,34
0.05,ASHT,0
0.001,BagAdaHT,9.4
0.005,BagAdaHT,10.0
0.01,BagAdaHT,11.0
0.05,BagAdaHT,26.2
0.1,BagAdaHT,28.8
0.001,BagAdwin,0.0
0.005,BagAdwin,7.0
0.01,BagAdwin,9.0
0.05,BagAdwin,28.6
0.1,BagAdwin,27.4
0.001,BagASHT,2.0
0.005,BagASHT,2.0
0.01,BagASHT,2.4
0.05,BagASHT,2.4
0.1,BagASHT,2.2
0.001,BagHT,6.4
0.005,BagHT,7.6
0.01,BagHT,7.6
0.05,BagHT,24.2
0.1,BagHT,29.4
0.001,BagSRHT,0.0
0.005,BagSRHT,1.6
0.01,BagSRHT,0.8
0.05,BagSRHT,2.6
0.1,BagSRHT,1.6
0.001,BoostAdaHT,2.0
0.005,BoostAdaHT,8.4
0.01,BoostAdaHT,11.6
0.05,BoostAdaHT,23.4
0.1,BoostAdaHT,26.0
0.001,BoostHT,0.0
0.005,BoostHT,0.0
0.01,BoostHT,0.0
0.05,BoostHT,0.0
0.1,BoostHT,0.0
0.001,HT,8
0.005,HT,4
0.01,HT,9
0.05,HT,27
0.1,HT,29
