X,Algorithm,value
0.001,AdaHT,54.7
0.005,AdaHT,66.84
0.01,AdaHT,61.5
0.05,AdaHT,84.04
0.1,AdaHT,81.43
0.05,ASHT,29.55
0.001,BagAdaHT,64.17
0.005,BagAdaHT,67.29
0.01,BagAdaHT,76.95
0.05,BagAdaHT,87.6
0.1,BagAdaHT,88.28
0.001,BagAdwin,28.67
0.005,BagAdwin,54.18
0.01,BagAdwin,76.65
0.05,BagAdwin,85.69
0.1,BagAdwin,86.57
0.001,BagASHT,51.99
0.005,BagASHT,59.69
0.01,BagASHT,51.58
0.05,BagASHT,52.8
0.1,BagASHT,43.32
0.001,BagHT,56.06
0.005,BagHT,57.81
0.01,BagHT,71.55
0.05,BagHT,84.0
0.1,BagHT,82.84
0.001,BagSRHT,43.58
0.005,BagSRHT,43.85
0.01,BagSRHT,42.56
0.05,BagSRHT,46.64
0.1,BagSRHT,45.82
0.001,BoostAdaHT,67.89
0.005,BoostAdaHT,55.54
0.01,BoostAdaHT,79.9
0.05,BoostAdaHT,80.07
0.1,BoostAdaHT,84.31
0.001,BoostHT,65.69
0.005,BoostHT,67.9
0.01,BoostHT,71.83
0.05,BoostHT,84.88
0.1,BoostHT,85.71
0.001,HT,50.19
0.005,HT,44.88
0.01,HT,64.31
0.05,HT,78.77
0.1,HT,84.18
