X,Algorithm,value
0.001,AdaHT,221
0.005,AdaHT,383
0.01,AdaHT,455
0.05,AdaHT,4916
0.1,AdaHT,12431
0.05,ASHT,4
0.001,BagAdaHT,1492
0.005,BagAdaHT,1964
0.01,BagAdaHT,3721
0.05,BagAdaHT,25303
0.1,BagAdaHT,63455
0.001,BagAdwin,20
0.005,BagAdwin,909
0.01,BagAdwin,1609
0.05,BagAdwin,13628
0.1,BagAdwin,37022
0.001,BagASHT,125
0.005,BagASHT,139
0.01,BagASHT,174
0.05,BagASHT,139
0.1,BagASHT,146
0.001,BagHT,594
0.005,BagHT,671
0.01,BagHT,1364
0.05,BagHT,13460
0.1,BagHT,41061
0.001,BagSRHT,20
0.005,BagSRHT,104
0.01,BagSRHT,48
0.05,BagSRHT,139
0.1,BagSRHT,97
0.001,BoostAdaHT,457
0.005,BoostAdaHT,1060
0.01,BoostAdaHT,3172
0.05,BoostAdaHT,25961
0.1,BoostAdaHT,61682
0.001,BoostHT,174
0.005,BoostHT,657
0.01,BoostHT,1238
0.05,BoostHT,15679
0.1,BoostHT,44533
0.001,HT,130
0.005,HT,60
0.01,HT,242
0.05,HT,2972
0.1,HT,7123
