X,Algorithm,value
0.001,AdaHT,84.04
0.005,AdaHT,82.873
0.01,AdaHT,84.9
0.05,AdaHT,82.318
0.1,AdaHT,111.235
0.05,ASHT,76.023
0.001,BagAdaHT,137.66
0.005,BagAdaHT,136.549
0.01,BagAdaHT,138.744
0.05,BagAdaHT,192.771
0.1,BagAdaHT,229.2
0.001,BagAdwin,117.883
0.005,BagAdwin,105.895
0.01,BagAdwin,118.046
0.05,BagAdwin,121.697
0.1,BagAdwin,127.53
0.001,BagASHT,117.992
0.005,BagASHT,116.033
0.01,BagASHT,122.264
0.05,BagASHT,116.76
0.1,BagASHT,115.024
0.001,BagHT,106.337
0.005,BagHT,108.888
0.01,BagHT,103.64
0.05,BagHT,117.476
0.1,BagHT,118.534
0.001,BagSRHT,44.405
0.005,BagSRHT,44.908
0.01,BagSRHT,73.771
0.05,BagSRHT,167.341
0.1,BagSRHT,160.378
0.001,BoostAdaHT,145.512
0.005,BoostAdaHT,166.663
0.01,BoostAdaHT,190.966
0.05,BoostAdaHT,181.265
0.1,BoostAdaHT,227.678
0.001,BoostHT,115.226
0.005,BoostHT,115.11
0.01,BoostHT,114.966
0.05,BoostHT,130.273
0.1,BoostHT,141.382
0.001,HT,63.403
0.005,HT,62.746
0.01,HT,62.373
0.05,HT,63.913
0.1,HT,64.176
