X,Algorithm,value
0.001,AdaHT,49
0.005,AdaHT,85
0.01,AdaHT,101
0.05,AdaHT,1093
0.1,AdaHT,2839
0.05,ASHT,1
0.001,BagAdaHT,331
0.005,BagAdaHT,435
0.01,BagAdaHT,825
0.05,BagAdaHT,5689
0.1,BagAdaHT,14133
0.001,BagAdwin,5
0.005,BagAdwin,259
0.01,BagAdwin,459
0.05,BagAdwin,3893
0.1,BagAdwin,10577
0.001,BagASHT,35
0.005,BagASHT,39
0.01,BagASHT,49
0.05,BagASHT,39
0.1,BagASHT,41
0.001,BagHT,169
0.005,BagHT,191
0.01,BagHT,389
0.05,BagHT,3845
0.1,BagHT,11731
0.001,BagSRHT,5
0.005,BagSRHT,29
0.01,BagSRHT,13
0.05,BagSRHT,39
0.1,BagSRHT,27
0.001,BoostAdaHT,101
0.005,BoostAdaHT,235
0.01,BoostAdaHT,712
0.05,BoostAdaHT,6112
0.1,BoostAdaHT,17962
0.001,BoostHT,49
0.005,BoostHT,187
0.01,BoostHT,353
0.05,BoostHT,4479
0.1,BoostHT,12723
0.001,HT,37
0.005,HT,17
0.01,HT,69
0.05,HT,849
0.1,HT,2035
