X,Algorithm,value
0,AdaHT,90.93
0,ASHT,54.85
1,BagAdaHT,91.55
2,BagAdaHT,92.82
3,BagAdaHT,93.12
4,BagAdaHT,93.69
5,BagAdaHT,93.6
6,BagAdaHT,94.02
7,BagAdaHT,94.17
8,BagAdaHT,94.29
9,BagAdaHT,94.3
10,BagAdaHT,94.15
1,BagAdwin,91.03
2,BagAdwin,92.41
3,BagAdwin,92.62
4,BagAdwin,93.18
5,BagAdwin,93.14
6,BagAdwin,93.44
7,BagAdwin,93.39
8,BagAdwin,93.5
9,BagAdwin,94.02
10,BagAdwin,93.83
1,BagASHT,71.25
2,BagASHT,71.99
3,BagASHT,71.35
4,BagASHT,71.12
5,BagASHT,71.25
6,BagASHT,71.15
7,BagASHT,71.79
8,BagASHT,71.76
9,BagASHT,71.7
10,BagASHT,71.42
1,BagHT,91.03
2,BagHT,92.41
3,BagHT,92.62
4,BagHT,93.18
5,BagHT,93.14
6,BagHT,93.44
7,BagHT,93.39
8,BagHT,93.5
9,BagHT,94.02
10,BagHT,93.83
1,BagSRHT,72.25
2,BagSRHT,72.99
3,BagSRHT,72.35
4,BagSRHT,72.12
5,BagSRHT,72.25
6,BagSRHT,72.15
7,BagSRHT,72.79
8,BagSRHT,72.76
9,BagSRHT,72.7
10,BagSRHT,71.42
1,BoostAdaHT,91.55
2,BoostAdaHT,92.45
3,BoostAdaHT,93.0
4,BoostAdaHT,93.21
5,BoostAdaHT,93.44
6,BoostAdaHT,93.33
7,BoostAdaHT,93.69
8,BoostAdaHT,93.72
9,BoostAdaHT,93.65
10,BoostAdaHT,93.71
1,BoostHT,91.03
2,BoostHT,92.1
3,BoostHT,92.64
4,BoostHT,92.87
5,BoostHT,93.27
6,BoostHT,93.48
7,BoostHT,93.51
8,BoostHT,93.7
9,BoostHT,93.73
10,BoostHT,93.82
0,HT,91.05
