X,Algorithm,value
0,AdaHT,90.47
0,ASHT,66.94
1,BagAdaHT,68.3
2,BagAdaHT,69.28
3,BagAdaHT,70.53
4,BagAdaHT,72.96
5,BagAdaHT,73.17
6,BagAdaHT,73.81
7,BagAdaHT,73.95
8,BagAdaHT,74.58
9,BagAdaHT,74.53
10,BagAdaHT,75.59
1,BagAdwin,71.63
2,BagAdwin,72.65
3,BagAdwin,74.15
4,BagAdwin,75.27
5,BagAdwin,75.9
6,BagAdwin,75.49
7,BagAdwin,76.98
8,BagAdwin,76.34
9,BagAdwin,77.06
10,BagAdwin,77.35
1,BagASHT,65.25
2,BagASHT,65.99
3,BagASHT,67.35
4,BagASHT,68.12
5,BagASHT,69.25
6,BagASHT,70.15
7,BagASHT,70.79
8,BagASHT,70.76
9,BagASHT,70.7
10,BagASHT,71.42
1,BagHT,61.25
2,BagHT,62.99
3,BagHT,62.35
4,BagHT,63.12
5,BagHT,63.25
6,BagHT,64.15
7,BagHT,65.79
8,BagHT,65.76
9,BagHT,65.7
10,BagHT,66.42
1,BagSRHT,66.25
2,BagSRHT,66.99
3,BagSRHT,68.35
4,BagSRHT,68.12
5,BagSRHT,70.25
6,BagSRHT,71.15
7,BagSRHT,71.79
8,BagSRHT,71.76
9,BagSRHT,72.7
10,BagSRHT,72.42
1,BoostAdaHT,70.87
2,BoostAdaHT,71.73
3,BoostAdaHT,73.76
4,BoostAdaHT,73.04
5,BoostAdaHT,75.14
6,BoostAdaHT,75.81
7,BoostAdaHT,75.27
8,BoostAdaHT,76.49
9,BoostAdaHT,78.34
10,BoostAdaHT,78.54
1,BoostHT,68.73
2,BoostHT,68.96
3,BoostHT,70.28
4,BoostHT,70.41
5,BoostHT,71.46
6,BoostHT,71.67
7,BoostHT,71.47
8,BoostHT,72.3
9,BoostHT,73.07
10,BoostHT,73.47
0,HT,74.35
