X,Algorithm,value
0,AdaHT,90.47
0,ASHT,66.94
1,BagAdaHT,88.3
2,BagAdaHT,90.28
3,BagAdaHT,93.53
4,BagAdaHT,91.96
5,BagAdaHT,94.17
6,BagAdaHT,89.81
7,BagAdaHT,93.95
8,BagAdaHT,91.58
9,BagAdaHT,92.53
10,BagAdaHT,94.59
1,BagAdwin,89.63
2,BagAdwin,90.65
3,BagAdwin,92.15
4,BagAdwin,90.27
5,BagAdwin,90.9
6,BagAdwin,90.49
7,BagAdwin,92.98
8,BagAdwin,93.34
9,BagAdwin,95.06
10,BagAdwin,92.35
1,BagASHT,61.25
2,BagASHT,61.99
3,BagASHT,61.35
4,BagASHT,61.12
5,BagASHT,61.25
6,BagASHT,61.15
7,BagASHT,61.79
8,BagASHT,61.76
9,BagASHT,61.7
10,BagASHT,61.42
1,BagHT,90.25
2,BagHT,92.99
3,BagHT,92.35
4,BagHT,91.12
5,BagHT,92.25
6,BagHT,94.15
7,BagHT,91.79
8,BagHT,91.76
9,BagHT,93.7
10,BagHT,92.42
1,BagSRHT,61.25
2,BagSRHT,61.99
3,BagSRHT,61.35
4,BagSRHT,61.12
5,BagSRHT,61.25
6,BagSRHT,61.15
7,BagSRHT,61.79
8,BagSRHT,61.76
9,BagSRHT,61.7
10,BagSRHT,61.42
1,BoostAdaHT,89.87
2,BoostAdaHT,89.73
3,BoostAdaHT,90.76
4,BoostAdaHT,92.04
5,BoostAdaHT,93.14
6,BoostAdaHT,92.81
7,BoostAdaHT,93.27
8,BoostAdaHT,94.49
9,BoostAdaHT,93.34
10,BoostAdaHT,93.54
1,BoostHT,91.73
2,BoostHT,92.26
3,BoostHT,95.28
4,BoostHT,89.41
5,BoostHT,94.46
6,BoostHT,92.67
7,BoostHT,90.47
8,BoostHT,92.3
9,BoostHT,91.07
10,BoostHT,93.47
0,HT,89.35
