X,Algorithm,value
0,AdaHT,26
0,ASHT,0
1,BagAdaHT,26.0
2,BagAdaHT,25.0
3,BagAdaHT,23.67
4,BagAdaHT,27.75
5,BagAdaHT,26.2
6,BagAdaHT,27.67
7,BagAdaHT,25.14
8,BagAdaHT,29.5
9,BagAdaHT,26.44
10,BagAdaHT,28.8
1,BagAdwin,26.0
2,BagAdwin,26.0
3,BagAdwin,26.67
4,BagAdwin,26.75
5,BagAdwin,23.8
6,BagAdwin,30.5
7,BagAdwin,26.43
8,BagAdwin,26.0
9,BagAdwin,25.78
10,BagAdwin,23.7
0,BagASHT,0.0
1,BagHT,25.0
2,BagHT,26.0
3,BagHT,25.67
4,BagHT,27.5
5,BagHT,28.0
6,BagHT,23.5
7,BagHT,25.43
8,BagHT,27.5
9,BagHT,24.56
10,BagHT,25.9
0,BagSRHT,0.0
1,BoostAdaHT,24.0
2,BoostAdaHT,25.5
3,BoostAdaHT,24.0
4,BoostAdaHT,22.25
5,BoostAdaHT,21.0
6,BoostAdaHT,20.5
7,BoostAdaHT,21.29
8,BoostAdaHT,21.13
9,BoostAdaHT,19.78
10,BoostAdaHT,20.3
1,BoostHT,0.0
2,BoostHT,0.0
3,BoostHT,0.0
4,BoostHT,0.0
5,BoostHT,0.0
6,BoostHT,0.0
7,BoostHT,0.0
8,BoostHT,0.0
9,BoostHT,0.0
10,BoostHT,0.0
0,HT,26
