X,Algorithm,value
0,AdaHT,80.17
0,ASHT,29.55
1,BagAdaHT,75.65
2,BagAdaHT,80.54
3,BagAdaHT,87.03
4,BagAdaHT,81.75
5,BagAdaHT,87.74
6,BagAdaHT,79.4
7,BagAdaHT,87.85
8,BagAdaHT,82.96
9,BagAdaHT,85.02
10,BagAdaHT,88.95
1,BagAdwin,79.26
2,BagAdwin,79.02
3,BagAdwin,82.6
4,BagAdwin,80.33
5,BagAdwin,81.22
6,BagAdwin,79.55
7,BagAdwin,85.28
8,BagAdwin,85.35
9,BagAdwin,89.05
10,BagAdwin,84.42
0,BagASHT,23.8
1,BagHT,80.46
2,BagHT,85.96
3,BagHT,83.53
4,BagHT,81.55
5,BagHT,84.4
6,BagHT,87.42
7,BagHT,83.58
8,BagHT,83.05
9,BagHT,87.39
10,BagHT,84.84
0,BagSRHT,22.53
1,BoostAdaHT,79.73
2,BoostAdaHT,79.45
3,BoostAdaHT,81.53
4,BoostAdaHT,83.3
5,BoostAdaHT,86.18
6,BoostAdaHT,85.58
7,BoostAdaHT,86.54
8,BoostAdaHT,88.88
9,BoostAdaHT,86.28
10,BoostAdaHT,87.06
1,BoostHT,77.14
2,BoostHT,83.9
3,BoostHT,88.96
4,BoostHT,78.79
5,BoostHT,88.8
6,BoostHT,85.05
7,BoostHT,80.93
8,BoostHT,84.58
9,BoostHT,82.1
10,BoostHT,86.53
0,HT,78.68
