X,Algorithm,value
0,AdaHT,4818
0,ASHT,4
1,BagAdaHT,4834
2,BagAdaHT,10510
3,BagAdaHT,14206
4,BagAdaHT,20422
5,BagAdaHT,25041
6,BagAdaHT,31104
7,BagAdaHT,35268
8,BagAdaHT,40152
9,BagAdaHT,44907
10,BagAdaHT,47809
1,BagAdwin,2986
2,BagAdwin,5790
3,BagAdwin,8307
4,BagAdwin,11279
5,BagAdwin,14111
6,BagAdwin,16887
7,BagAdwin,19740
8,BagAdwin,21137
9,BagAdwin,23927
10,BagAdwin,26283
0,BagASHT,4
1,BagHT,2811
2,BagHT,5440
3,BagHT,8027
4,BagHT,11188
5,BagHT,14671
6,BagHT,16131
7,BagHT,19957
8,BagHT,22908
9,BagHT,24774
10,BagHT,29027
0,BagSRHT,4
1,BoostAdaHT,4764
2,BoostAdaHT,9972
3,BoostAdaHT,15585
4,BoostAdaHT,18185
5,BoostAdaHT,26929
6,BoostAdaHT,31355
7,BoostAdaHT,31589
8,BoostAdaHT,41289
9,BoostAdaHT,34449
10,BoostAdaHT,44224
1,BoostHT,2720
2,BoostHT,5755
3,BoostHT,9574
4,BoostHT,11146
5,BoostHT,17016
6,BoostHT,18637
7,BoostHT,19971
8,BoostHT,24889
9,BoostHT,26587
10,BoostHT,31834
0,HT,2769
