X,Algorithm,value
0,AdaHT,90.059
0,ASHT,76.023
1,BagAdaHT,100.652
2,BagAdaHT,123.991
3,BagAdaHT,138.003
4,BagAdaHT,164.52
5,BagAdaHT,182.214
6,BagAdaHT,213.819
7,BagAdaHT,237.991
8,BagAdaHT,270.654
9,BagAdaHT,273.345
10,BagAdaHT,335.697
1,BagAdwin,113.056
2,BagAdwin,117.457
3,BagAdwin,121.65
4,BagAdwin,134.822
5,BagAdwin,139.289
6,BagAdwin,148.2
7,BagAdwin,147.55
8,BagAdwin,159.036
9,BagAdwin,179.465
10,BagAdwin,187.815
1,BagASHT,113.056
2,BagASHT,117.457
3,BagASHT,121.65
4,BagASHT,134.822
5,BagASHT,139.289
6,BagASHT,148.2
7,BagASHT,147.55
8,BagASHT,159.036
9,BagASHT,179.465
10,BagASHT,187.815
1,BagHT,90.517
2,BagHT,95.571
3,BagHT,104.254
4,BagHT,103.265
5,BagHT,109.288
6,BagHT,119.702
7,BagHT,126.647
8,BagHT,137.263
9,BagHT,137.243
10,BagHT,154.612
1,BagSRHT,99.592
2,BagSRHT,123.334
3,BagSRHT,146.65
4,BagSRHT,163.03
5,BagSRHT,177.329
6,BagSRHT,194.985
7,BagSRHT,201.907
8,BagSRHT,216.406
9,BagSRHT,238.812
10,BagSRHT,257.062
1,BoostAdaHT,99.592
2,BoostAdaHT,122.334
3,BoostAdaHT,148.65
4,BoostAdaHT,163.03
5,BoostAdaHT,174.329
6,BoostAdaHT,191.985
7,BoostAdaHT,203.907
8,BoostAdaHT,218.406
9,BoostAdaHT,236.812
10,BoostAdaHT,254.062
1,BoostHT,85.783
2,BoostHT,90.06
3,BoostHT,98.601
4,BoostHT,108.885
5,BoostHT,118.236
6,BoostHT,129.012
7,BoostHT,135.664
8,BoostHT,143.773
9,BoostHT,159.012
10,BoostHT,198.237
0,HT,64.47
