X,Algorithm,value
0,AdaHT,1071
0,ASHT,1
1,BagAdaHT,1075
2,BagAdaHT,2338
3,BagAdaHT,3167
4,BagAdaHT,4542
5,BagAdaHT,5613
6,BagAdaHT,6942
7,BagAdaHT,7845
8,BagAdaHT,8926
9,BagAdaHT,9991
10,BagAdaHT,10632
1,BagAdwin,853
2,BagAdwin,1654
3,BagAdwin,2373
4,BagAdwin,3222
5,BagAdwin,4031
6,BagAdwin,4824
7,BagAdwin,5639
8,BagAdwin,6038
9,BagAdwin,6835
10,BagAdwin,7508
0,BagASHT,1
1,BagHT,803
2,BagHT,1554
3,BagHT,2293
4,BagHT,3196
5,BagHT,4191
6,BagHT,4608
7,BagHT,5701
8,BagHT,6544
9,BagHT,7077
10,BagHT,8292
0,BagSRHT,1
1,BoostAdaHT,1059
2,BoostAdaHT,2230
3,BoostAdaHT,3569
4,BoostAdaHT,4967
5,BoostAdaHT,6957
6,BoostAdaHT,8562
7,BoostAdaHT,10186
8,BoostAdaHT,12753
9,BoostAdaHT,12248
10,BoostAdaHT,14744
1,BoostHT,777
2,BoostHT,1644
3,BoostHT,2735
4,BoostHT,3184
5,BoostHT,4861
6,BoostHT,5324
7,BoostHT,5705
8,BoostHT,7110
9,BoostHT,7595
10,BoostHT,9094
0,HT,791
