X,Algorithm,value
100000,AdaHT,30.89
150000,AdaHT,32.52
200000,AdaHT,31.34
250000,AdaHT,32.7
300000,AdaHT,34.03
350000,AdaHT,33.58
400000,AdaHT,36.03
450000,AdaHT,31.79
50000,AdaHT,31.59
500000,AdaHT,32.12
550000,AdaHT,31.67
600000,AdaHT,30.44
650000,AdaHT,33.72
700000,AdaHT,30.79
750000,AdaHT,30.19
800000,AdaHT,33.41
850000,AdaHT,32.97
900000,AdaHT,31.78
950000,AdaHT,35.21
100000,ASHT,8.76
1000000,ASHT,9.87
150000,ASHT,10.34
200000,ASHT,9.69
250000,ASHT,9.08
300000,ASHT,8.54
350000,ASHT,9.27
400000,ASHT,10.94
450000,ASHT,10.32
50000,ASHT,9.92
500000,ASHT,10.67
550000,ASHT,9.78
600000,ASHT,10.67
650000,ASHT,8.99
700000,ASHT,10.45
750000,ASHT,9.77
800000,ASHT,9.43
850000,ASHT,9.05
900000,ASHT,9.82
950000,ASHT,9.22
100000,BagAdaHT,39.76
1000000,BagAdaHT,40.55
150000,BagAdaHT,41.57
200000,BagAdaHT,41.89
250000,BagAdaHT,44.55
300000,BagAdaHT,42.64
350000,BagAdaHT,45.92
400000,BagAdaHT,43.15
450000,BagAdaHT,43.03
50000,BagAdaHT,39.77
500000,BagAdaHT,42.77
550000,BagAdaHT,40.99
600000,BagAdaHT,41.71
650000,BagAdaHT,43.26
700000,BagAdaHT,39.04
750000,BagAdaHT,41.47
800000,BagAdaHT,41.49
850000,BagAdaHT,41.1
900000,BagAdaHT,40.74
950000,BagAdaHT,41.03
100000,BagAdwin,34.26
1000000,BagAdwin,36.47
150000,BagAdwin,36.96
200000,BagAdwin,35.63
250000,BagAdwin,35.95
300000,BagAdwin,36.81
350000,BagAdwin,38.32
400000,BagAdwin,38.15
450000,BagAdwin,35.66
50000,BagAdwin,36.07
500000,BagAdwin,36.33
550000,BagAdwin,32.83
600000,BagAdwin,33.56
650000,BagAdwin,36.72
700000,BagAdwin,35.19
750000,BagAdwin,33.69
800000,BagAdwin,34.11
850000,BagAdwin,33.61
900000,BagAdwin,34.48
950000,BagAdwin,36.04
100000,BagASHT,35.52
1000000,BagASHT,36.37
150000,BagASHT,36.32
200000,BagASHT,36.52
250000,BagASHT,35.94
300000,BagASHT,38.21
350000,BagASHT,38.76
400000,BagASHT,39.14
450000,BagASHT,37.64
50000,BagASHT,36.63
500000,BagASHT,37.09
550000,BagASHT,35.24
600000,BagASHT,34.85
650000,BagASHT,37.69
700000,BagASHT,35.51
750000,BagASHT,35.33
800000,BagASHT,36.21
850000,BagASHT,34.73
900000,BagASHT,35.48
950000,BagASHT,37.81
100000,BagHT,28.12
1000000,BagHT,19.69
150000,BagHT,26.3
200000,BagHT,26.27
250000,BagHT,26.71
300000,BagHT,24.91
350000,BagHT,24.59
400000,BagHT,23.54
450000,BagHT,21.6
50000,BagHT,32.72
500000,BagHT,21.51
550000,BagHT,21.84
600000,BagHT,21.74
650000,BagHT,22.34
700000,BagHT,21.37
750000,BagHT,20.54
800000,BagHT,19.33
850000,BagHT,20.34
900000,BagHT,19.67
950000,BagHT,21.0
100000,BagSRHT,37.55
1000000,BagSRHT,39.86
150000,BagSRHT,40.41
200000,BagSRHT,39.22
250000,BagSRHT,40.51
300000,BagSRHT,41.25
350000,BagSRHT,41.7
400000,BagSRHT,42.66
450000,BagSRHT,40.83
50000,BagSRHT,37.82
500000,BagSRHT,40.5
550000,BagSRHT,39.66
600000,BagSRHT,40.49
650000,BagSRHT,41.04
700000,BagSRHT,38.05
750000,BagSRHT,38.81
800000,BagSRHT,39.05
850000,BagSRHT,39.93
900000,BagSRHT,39.45
950000,BagSRHT,39.64
100000,BoostAdaHT,45.79
1000000,BoostAdaHT,47.78
150000,BoostAdaHT,48.25
200000,BoostAdaHT,47.9
250000,BoostAdaHT,46.91
300000,BoostAdaHT,49.39
350000,BoostAdaHT,48.35
400000,BoostAdaHT,49.74
450000,BoostAdaHT,48.48
50000,BoostAdaHT,45.69
500000,BoostAdaHT,47.2
550000,BoostAdaHT,47.12
600000,BoostAdaHT,46.99
650000,BoostAdaHT,47.77
700000,BoostAdaHT,46.09
750000,BoostAdaHT,46.02
800000,BoostAdaHT,47.48
850000,BoostAdaHT,45.67
900000,BoostAdaHT,46.32
950000,BoostAdaHT,47.54
100000,BoostHT,33.19
1000000,BoostHT,19.02
150000,BoostHT,30.94
200000,BoostHT,28.78
250000,BoostHT,27.34
300000,BoostHT,27.2
350000,BoostHT,25.65
400000,BoostHT,25.89
450000,BoostHT,23.56
50000,BoostHT,42.01
500000,BoostHT,22.6
550000,BoostHT,22.99
600000,BoostHT,23.63
650000,BoostHT,22.41
700000,BoostHT,20.37
750000,BoostHT,21.38
800000,BoostHT,22.66
850000,BoostHT,21.98
900000,BoostHT,19.7
950000,BoostHT,20.38
100000,HT,19.39
150000,HT,18.01
200000,HT,16.47
250000,HT,17.52
300000,HT,15.83
350000,HT,12.86
400000,HT,15.87
450000,HT,13.36
50000,HT,25.91
500000,HT,15.08
550000,HT,13.36
600000,HT,14.43
650000,HT,14.17
700000,HT,14.88
750000,HT,13.32
800000,HT,12.38
850000,HT,12.96
900000,HT,14.36
950000,HT,13.85
