X,Algorithm,value
100000,AdaHT,0
150000,AdaHT,0
200000,AdaHT,0
250000,AdaHT,0
300000,AdaHT,0
350000,AdaHT,0
400000,AdaHT,0
450000,AdaHT,0
50000,AdaHT,0
500000,AdaHT,0
550000,AdaHT,0
600000,AdaHT,0
650000,AdaHT,0
700000,AdaHT,0
750000,AdaHT,0
800000,AdaHT,0
850000,AdaHT,0
900000,AdaHT,0
950000,AdaHT,0
100000,ASHT,29
1000000,ASHT,294
150000,ASHT,44
200000,ASHT,58
250000,ASHT,73
300000,ASHT,88
350000,ASHT,102
400000,ASHT,117
450000,ASHT,132
50000,ASHT,14
500000,ASHT,147
550000,ASHT,161
600000,ASHT,176
650000,ASHT,191
700000,ASHT,205
750000,ASHT,220
800000,ASHT,235
850000,ASHT,250
900000,ASHT,264
950000,ASHT,279
100000,BagAdaHT,0.0
1000000,BagAdaHT,0.0
150000,BagAdaHT,0.0
200000,BagAdaHT,0.0
250000,BagAdaHT,0.0
300000,BagAdaHT,0.0
350000,BagAdaHT,0.0
400000,BagAdaHT,0.0
450000,BagAdaHT,0.0
50000,BagAdaHT,0.0
500000,BagAdaHT,0.0
550000,BagAdaHT,0.0
600000,BagAdaHT,0.0
650000,BagAdaHT,0.0
700000,BagAdaHT,0.0
750000,BagAdaHT,0.0
800000,BagAdaHT,0.0
850000,BagAdaHT,0.0
900000,BagAdaHT,0.0
950000,BagAdaHT,0.0
100000,BagAdwin,35.8
1000000,BagAdwin,379.0
150000,BagAdwin,51.2
200000,BagAdwin,72.4
250000,BagAdwin,94.8
300000,BagAdwin,113.8
350000,BagAdwin,131.2
400000,BagAdwin,148.4
450000,BagAdwin,166.6
50000,BagAdwin,18.0
500000,BagAdwin,183.2
550000,BagAdwin,199.6
600000,BagAdwin,222.2
650000,BagAdwin,241.6
700000,BagAdwin,263.8
750000,BagAdwin,283.0
800000,BagAdwin,302.4
850000,BagAdwin,322.0
900000,BagAdwin,339.6
950000,BagAdwin,360.8
100000,BagASHT,5.52
1000000,BagASHT,61.45
150000,BagASHT,8.87
200000,BagASHT,11.58
250000,BagASHT,15.29
300000,BagASHT,18.16
350000,BagASHT,20.94
400000,BagASHT,24.1
450000,BagASHT,27.35
50000,BagASHT,2.71
500000,BagASHT,30.23
550000,BagASHT,32.97
600000,BagASHT,36.61
650000,BagASHT,39.48
700000,BagASHT,42.39
750000,BagASHT,45.32
800000,BagASHT,48.26
850000,BagASHT,51.65
900000,BagASHT,54.68
950000,BagASHT,57.87
100000,BagHT,0.0
1000000,BagHT,0.0
150000,BagHT,0.0
200000,BagHT,0.0
250000,BagHT,0.0
300000,BagHT,0.0
350000,BagHT,0.0
400000,BagHT,0.0
450000,BagHT,0.0
50000,BagHT,0.0
500000,BagHT,0.0
550000,BagHT,0.0
600000,BagHT,0.0
650000,BagHT,0.0
700000,BagHT,0.0
750000,BagHT,0.0
800000,BagHT,0.0
850000,BagHT,0.0
900000,BagHT,0.0
950000,BagHT,0.0
100000,BagSRHT,10.0
1000000,BagSRHT,161.0
150000,BagSRHT,19.0
200000,BagSRHT,26.0
250000,BagSRHT,35.0
300000,BagSRHT,42.0
350000,BagSRHT,52.0
400000,BagSRHT,60.0
450000,BagSRHT,69.0
50000,BagSRHT,2.0
500000,BagSRHT,78.0
550000,BagSRHT,86.0
600000,BagSRHT,96.0
650000,BagSRHT,104.0
700000,BagSRHT,113.0
750000,BagSRHT,121.0
800000,BagSRHT,129.0
850000,BagSRHT,137.0
900000,BagSRHT,145.0
950000,BagSRHT,152.0
100000,BoostAdaHT,0.0
1000000,BoostAdaHT,0.0
150000,BoostAdaHT,0.0
200000,BoostAdaHT,0.0
250000,BoostAdaHT,0.0
300000,BoostAdaHT,0.0
350000,BoostAdaHT,0.0
400000,BoostAdaHT,0.0
450000,BoostAdaHT,0.0
50000,BoostAdaHT,0.0
500000,BoostAdaHT,0.0
550000,BoostAdaHT,0.0
600000,BoostAdaHT,0.0
650000,BoostAdaHT,0.0
700000,BoostAdaHT,0.0
750000,BoostAdaHT,0.0
800000,BoostAdaHT,0.0
850000,BoostAdaHT,0.0
900000,BoostAdaHT,0.0
950000,BoostAdaHT,0.0
100000,BoostHT,0.0
1000000,BoostHT,0.0
150000,BoostHT,0.0
200000,BoostHT,0.0
250000,BoostHT,0.0
300000,BoostHT,0.0
350000,BoostHT,0.0
400000,BoostHT,0.0
450000,BoostHT,0.0
50000,BoostHT,0.0
500000,BoostHT,0.0
550000,BoostHT,0.0
600000,BoostHT,0.0
650000,BoostHT,0.0
700000,BoostHT,0.0
750000,BoostHT,0.0
800000,BoostHT,0.0
850000,BoostHT,0.0
900000,BoostHT,0.0
950000,BoostHT,0.0
100000,HT,0
150000,HT,0
200000,HT,0
250000,HT,0
300000,HT,0
350000,HT,0
400000,HT,0
450000,HT,0
50000,HT,0
500000,HT,0
550000,HT,0
600000,HT,0
650000,HT,0
700000,HT,0
750000,HT,0
800000,HT,0
850000,HT,0
900000,HT,0
950000,HT,0
