X,Algorithm,value
100000,AdaHT,1.75
150000,AdaHT,2.549
200000,AdaHT,3.448
250000,AdaHT,4.356
300000,AdaHT,5.209
350000,AdaHT,6.03
400000,AdaHT,6.916
450000,AdaHT,7.842
50000,AdaHT,0.929
500000,AdaHT,8.733
550000,AdaHT,9.598
600000,AdaHT,10.462
650000,AdaHT,11.412
700000,AdaHT,12.162
750000,AdaHT,13.087
800000,AdaHT,13.894
850000,AdaHT,14.807
900000,AdaHT,15.686
950000,AdaHT,16.589
100000,ASHT,0.869
1000000,ASHT,7.918
150000,ASHT,1.256
200000,ASHT,1.634
250000,ASHT,2.036
300000,ASHT,2.425
350000,ASHT,2.827
400000,ASHT,3.222
450000,ASHT,3.613
50000,ASHT,0.443
500000,ASHT,4.002
550000,ASHT,4.392
600000,ASHT,4.804
650000,ASHT,5.189
700000,ASHT,5.59
750000,ASHT,5.994
800000,ASHT,6.388
850000,ASHT,6.766
900000,ASHT,7.156
950000,ASHT,7.532
100000,BagAdaHT,6.88
1000000,BagAdaHT,71.438
150000,BagAdaHT,10.544
200000,BagAdaHT,13.867
250000,BagAdaHT,17.217
300000,BagAdaHT,20.636
350000,BagAdaHT,24.219
400000,BagAdaHT,27.538
450000,BagAdaHT,31.714
50000,BagAdaHT,3.409
500000,BagAdaHT,35.556
550000,BagAdaHT,39.069
600000,BagAdaHT,42.598
650000,BagAdaHT,46.242
700000,BagAdaHT,50.652
750000,BagAdaHT,54.448
800000,BagAdaHT,57.877
850000,BagAdaHT,61.31
900000,BagAdaHT,64.597
950000,BagAdaHT,68.068
100000,BagAdwin,4.488
1000000,BagAdwin,45.749
150000,BagAdwin,6.742
200000,BagAdwin,9.123
250000,BagAdwin,11.445
300000,BagAdwin,13.831
350000,BagAdwin,16.135
400000,BagAdwin,18.395
450000,BagAdwin,20.625
50000,BagAdwin,2.26
500000,BagAdwin,22.945
550000,BagAdwin,25.225
600000,BagAdwin,27.487
650000,BagAdwin,29.761
700000,BagAdwin,31.981
750000,BagAdwin,34.26
800000,BagAdwin,36.518
850000,BagAdwin,38.939
900000,BagAdwin,41.209
950000,BagAdwin,43.459
100000,BagASHT,3.987
1000000,BagASHT,39.029
150000,BagASHT,5.985
200000,BagASHT,7.942
250000,BagASHT,10.056
300000,BagASHT,12.107
350000,BagASHT,14.086
400000,BagASHT,16.117
450000,BagASHT,18.014
50000,BagASHT,1.995
500000,BagASHT,19.922
550000,BagASHT,21.825
600000,BagASHT,23.695
650000,BagASHT,25.619
700000,BagASHT,27.52
750000,BagASHT,29.42
800000,BagASHT,31.355
850000,BagASHT,33.267
900000,BagASHT,35.187
950000,BagASHT,37.121
100000,BagHT,3.063
1000000,BagHT,32.31
150000,BagHT,4.565
200000,BagHT,6.096
250000,BagHT,7.663
300000,BagHT,9.227
350000,BagHT,10.791
400000,BagHT,12.366
450000,BagHT,13.946
50000,BagHT,1.541
500000,BagHT,15.538
550000,BagHT,17.14
600000,BagHT,18.771
650000,BagHT,20.422
700000,BagHT,22.172
750000,BagHT,23.835
800000,BagHT,25.489
850000,BagHT,27.21
900000,BagHT,28.892
950000,BagHT,30.595
100000,BagSRHT,13.646
1000000,BagSRHT,158.821
150000,BagSRHT,21.594
200000,BagSRHT,29.52
250000,BagSRHT,37.607
300000,BagSRHT,46.133
350000,BagSRHT,54.326
400000,BagSRHT,62.586
450000,BagSRHT,70.755
50000,BagSRHT,5.59
500000,BagSRHT,79.015
550000,BagSRHT,86.606
600000,BagSRHT,94.859
650000,BagSRHT,103.136
700000,BagSRHT,110.766
750000,BagSRHT,118.607
800000,BagSRHT,126.743
850000,BagSRHT,134.714
900000,BagSRHT,142.651
950000,BagSRHT,150.366
100000,BoostAdaHT,7.36
1000000,BoostAdaHT,75.248
150000,BoostAdaHT,11.299
200000,BoostAdaHT,14.979
250000,BoostAdaHT,18.879
300000,BoostAdaHT,22.553
350000,BoostAdaHT,26.252
400000,BoostAdaHT,30.002
450000,BoostAdaHT,33.872
50000,BoostAdaHT,3.65
500000,BoostAdaHT,37.735
550000,BoostAdaHT,41.737
600000,BoostAdaHT,45.321
650000,BoostAdaHT,49.128
700000,BoostAdaHT,52.77
750000,BoostAdaHT,56.497
800000,BoostAdaHT,60.315
850000,BoostAdaHT,64.114
900000,BoostAdaHT,67.811
950000,BoostAdaHT,71.443
100000,BoostHT,4.45
1000000,BoostHT,46.928
150000,BoostHT,6.68
200000,BoostHT,8.953
250000,BoostHT,11.223
300000,BoostHT,13.5
350000,BoostHT,15.821
400000,BoostHT,18.222
450000,BoostHT,20.544
50000,BoostHT,2.244
500000,BoostHT,22.856
550000,BoostHT,25.228
600000,BoostHT,27.578
650000,BoostHT,29.932
700000,BoostHT,32.358
750000,BoostHT,34.734
800000,BoostHT,37.164
850000,BoostHT,39.602
900000,BoostHT,42.058
950000,BoostHT,44.494
100000,HT,1.058
150000,HT,1.649
200000,HT,2.21
250000,HT,2.782
300000,HT,3.433
350000,HT,4.016
400000,HT,4.499
450000,HT,4.935
50000,HT,0.488
500000,HT,5.399
550000,HT,5.859
600000,HT,6.314
650000,HT,6.77
700000,HT,7.233
750000,HT,7.689
800000,HT,8.11
850000,HT,8.535
900000,HT,8.981
950000,HT,9.426
