X,Algorithm,value
100000,AdaHT,-9
150000,AdaHT,-14
200000,AdaHT,-7
250000,AdaHT,7
300000,AdaHT,6
350000,AdaHT,5
400000,AdaHT,21
450000,AdaHT,8
50000,AdaHT,0
500000,AdaHT,19
550000,AdaHT,31
600000,AdaHT,33
650000,AdaHT,42
700000,AdaHT,38
750000,AdaHT,25
800000,AdaHT,30
850000,AdaHT,42
900000,AdaHT,53
950000,AdaHT,52
100000,ASHT,1
1000000,ASHT,1
150000,ASHT,1
200000,ASHT,1
250000,ASHT,1
300000,ASHT,1
350000,ASHT,1
400000,ASHT,1
450000,ASHT,1
50000,ASHT,1
500000,ASHT,1
550000,ASHT,1
600000,ASHT,1
650000,ASHT,1
700000,ASHT,1
750000,ASHT,1
800000,ASHT,1
850000,ASHT,0
900000,ASHT,1
950000,ASHT,1
100000,BagAdaHT,193
1000000,BagAdaHT,1782
150000,BagAdaHT,231
200000,BagAdaHT,382
250000,BagAdaHT,486
300000,BagAdaHT,508
350000,BagAdaHT,584
400000,BagAdaHT,696
450000,BagAdaHT,737
50000,BagAdaHT,130
500000,BagAdaHT,855
550000,BagAdaHT,1026
600000,BagAdaHT,1113
650000,BagAdaHT,1193
700000,BagAdaHT,1248
750000,BagAdaHT,1368
800000,BagAdaHT,1480
850000,BagAdaHT,1582
900000,BagAdaHT,1593
950000,BagAdaHT,1675
100000,BagAdwin,5
1000000,BagAdwin,5
150000,BagAdwin,11
200000,BagAdwin,11
250000,BagAdwin,5
300000,BagAdwin,19
350000,BagAdwin,11
400000,BagAdwin,13
450000,BagAdwin,9
50000,BagAdwin,5
500000,BagAdwin,17
550000,BagAdwin,9
600000,BagAdwin,5
650000,BagAdwin,25
700000,BagAdwin,15
750000,BagAdwin,5
800000,BagAdwin,19
850000,BagAdwin,5
900000,BagAdwin,5
950000,BagAdwin,5
100000,BagASHT,37
1000000,BagASHT,15
150000,BagASHT,35
200000,BagASHT,45
250000,BagASHT,17
300000,BagASHT,31
350000,BagASHT,47
400000,BagASHT,41
450000,BagASHT,27
50000,BagASHT,21
500000,BagASHT,39
550000,BagASHT,47
600000,BagASHT,5
650000,BagASHT,19
700000,BagASHT,27
750000,BagASHT,43
800000,BagASHT,43
850000,BagASHT,25
900000,BagASHT,27
950000,BagASHT,37
100000,BagHT,385
1000000,BagHT,3679
150000,BagHT,543
200000,BagHT,745
250000,BagHT,939
300000,BagHT,1123
350000,BagHT,1301
400000,BagHT,1497
450000,BagHT,1677
50000,BagHT,201
500000,BagHT,1871
550000,BagHT,2033
600000,BagHT,2221
650000,BagHT,2413
700000,BagHT,2597
750000,BagHT,2775
800000,BagHT,2907
850000,BagHT,3099
900000,BagHT,3271
950000,BagHT,3481
100000,BagSRHT,33
1000000,BagSRHT,35
150000,BagSRHT,33
200000,BagSRHT,43
250000,BagSRHT,17
300000,BagSRHT,33
350000,BagSRHT,43
400000,BagSRHT,43
450000,BagSRHT,25
50000,BagSRHT,21
500000,BagSRHT,35
550000,BagSRHT,41
600000,BagSRHT,11
650000,BagSRHT,19
700000,BagSRHT,19
750000,BagSRHT,41
800000,BagSRHT,39
850000,BagSRHT,39
900000,BagSRHT,21
950000,BagSRHT,35
100000,BoostAdaHT,202
1000000,BoostAdaHT,1805
150000,BoostAdaHT,263
200000,BoostAdaHT,388
250000,BoostAdaHT,428
300000,BoostAdaHT,545
350000,BoostAdaHT,559
400000,BoostAdaHT,689
450000,BoostAdaHT,796
50000,BoostAdaHT,113
500000,BoostAdaHT,891
550000,BoostAdaHT,1062
600000,BoostAdaHT,1145
650000,BoostAdaHT,1183
700000,BoostAdaHT,1241
750000,BoostAdaHT,1302
800000,BoostAdaHT,1394
850000,BoostAdaHT,1551
900000,BoostAdaHT,1632
950000,BoostAdaHT,1726
100000,BoostHT,383
1000000,BoostHT,3615
150000,BoostHT,543
200000,BoostHT,735
250000,BoostHT,941
300000,BoostHT,1123
350000,BoostHT,1307
400000,BoostHT,1499
450000,BoostHT,1665
50000,BoostHT,203
500000,BoostHT,1839
550000,BoostHT,2015
600000,BoostHT,2243
650000,BoostHT,2387
700000,BoostHT,2587
750000,BoostHT,2769
800000,BoostHT,2953
850000,BoostHT,3111
900000,BoostHT,3269
950000,BoostHT,3467
100000,HT,79
150000,HT,111
200000,HT,151
250000,HT,185
300000,HT,217
350000,HT,253
400000,HT,289
450000,HT,327
50000,HT,39
500000,HT,365
550000,HT,397
600000,HT,445
650000,HT,467
700000,HT,509
750000,HT,547
800000,HT,579
850000,HT,607
900000,HT,651
950000,HT,689
