X,Algorithm,value
100000,AdaHT,89.51
150000,AdaHT,90.54
200000,AdaHT,91.25
250000,AdaHT,91.57
300000,AdaHT,91.49
350000,AdaHT,91.93
400000,AdaHT,91.78
450000,AdaHT,91.72
50000,AdaHT,84.06
500000,AdaHT,91.89
550000,AdaHT,91.99
600000,AdaHT,92.03
650000,AdaHT,92.17
700000,AdaHT,92.24
750000,AdaHT,92.43
800000,AdaHT,92.39
850000,AdaHT,92.43
900000,AdaHT,92.55
950000,AdaHT,92.49
100000,ASHT,67.05
1000000,ASHT,66.83
150000,ASHT,67.49
200000,ASHT,66.82
250000,ASHT,66.73
300000,ASHT,67.28
350000,ASHT,67.14
400000,ASHT,67.38
450000,ASHT,66.95
50000,ASHT,66.9
500000,ASHT,66.92
550000,ASHT,66.53
600000,ASHT,66.85
650000,ASHT,66.9
700000,ASHT,66.66
750000,ASHT,66.56
800000,ASHT,67.34
850000,ASHT,66.54
900000,ASHT,66.56
950000,ASHT,67.36
100000,BagAdaHT,92.35
1000000,BagAdaHT,95.15
150000,BagAdaHT,93.29
200000,BagAdaHT,93.74
250000,BagAdaHT,93.86
300000,BagAdaHT,94.35
350000,BagAdaHT,94.65
400000,BagAdaHT,94.63
450000,BagAdaHT,94.59
50000,BagAdaHT,87.42
500000,BagAdaHT,94.75
550000,BagAdaHT,94.82
600000,BagAdaHT,94.65
650000,BagAdaHT,94.86
700000,BagAdaHT,95.03
750000,BagAdaHT,94.92
800000,BagAdaHT,94.9
850000,BagAdaHT,95.07
900000,BagAdaHT,95.09
950000,BagAdaHT,95.19
100000,BagAdwin,90.89
1000000,BagAdwin,95.2
150000,BagAdwin,92.41
200000,BagAdwin,93.09
250000,BagAdwin,93.65
300000,BagAdwin,93.78
350000,BagAdwin,94.08
400000,BagAdwin,94.33
450000,BagAdwin,94.37
50000,BagAdwin,81.99
500000,BagAdwin,94.33
550000,BagAdwin,94.61
600000,BagAdwin,94.58
650000,BagAdwin,94.76
700000,BagAdwin,94.57
750000,BagAdwin,94.98
800000,BagAdwin,94.92
850000,BagAdwin,94.98
900000,BagAdwin,94.94
950000,BagAdwin,95.11
100000,BagASHT,74.14
1000000,BagASHT,72.97
150000,BagASHT,72.36
200000,BagASHT,72.83
250000,BagASHT,73.37
300000,BagASHT,71.87
350000,BagASHT,73.12
400000,BagASHT,73.61
450000,BagASHT,70.95
50000,BagASHT,71.39
500000,BagASHT,72.85
550000,BagASHT,71.77
600000,BagASHT,72.16
650000,BagASHT,73.41
700000,BagASHT,74.07
750000,BagASHT,72.23
800000,BagASHT,72.91
850000,BagASHT,72.28
900000,BagASHT,74.46
950000,BagASHT,71.39
100000,BagHT,88.16
1000000,BagHT,92.94
150000,BagHT,89.7
200000,BagHT,90.68
250000,BagHT,90.96
300000,BagHT,91.29
350000,BagHT,92.09
400000,BagHT,92.12
450000,BagHT,92.27
50000,BagHT,81.59
500000,BagHT,92.07
550000,BagHT,92.37
600000,BagHT,92.63
650000,BagHT,92.65
700000,BagHT,92.76
750000,BagHT,92.83
800000,BagHT,93.06
850000,BagHT,93.02
900000,BagHT,92.97
950000,BagHT,93.07
100000,BagSRHT,72.33
1000000,BagSRHT,73.58
150000,BagSRHT,72.87
200000,BagSRHT,72.55
250000,BagSRHT,72.3
300000,BagSRHT,72.0
350000,BagSRHT,72.83
400000,BagSRHT,71.8
450000,BagSRHT,72.61
50000,BagSRHT,71.62
500000,BagSRHT,72.42
550000,BagSRHT,72.61
600000,BagSRHT,72.59
650000,BagSRHT,72.02
700000,BagSRHT,72.58
750000,BagSRHT,72.24
800000,BagSRHT,73.15
850000,BagSRHT,72.86
900000,BagSRHT,72.91
950000,BagSRHT,72.88
100000,BoostAdaHT,89.72
1000000,BoostAdaHT,92.56
150000,BoostAdaHT,90.63
200000,BoostAdaHT,91.09
250000,BoostAdaHT,91.43
300000,BoostAdaHT,91.69
350000,BoostAdaHT,91.93
400000,BoostAdaHT,91.95
450000,BoostAdaHT,92.21
50000,BoostAdaHT,83.94
500000,BoostAdaHT,92.3
550000,BoostAdaHT,92.42
600000,BoostAdaHT,92.12
650000,BoostAdaHT,92.2
700000,BoostAdaHT,92.17
750000,BoostAdaHT,92.55
800000,BoostAdaHT,92.44
850000,BoostAdaHT,92.54
900000,BoostAdaHT,92.46
950000,BoostAdaHT,92.69
100000,BoostHT,89.59
1000000,BoostHT,92.83
150000,BoostHT,90.7
200000,BoostHT,91.2
250000,BoostHT,91.48
300000,BoostHT,91.55
350000,BoostHT,91.98
400000,BoostHT,92.08
450000,BoostHT,92.22
50000,BoostHT,83.84
500000,BoostHT,92.29
550000,BoostHT,92.36
600000,BoostHT,92.32
650000,BoostHT,92.5
700000,BoostHT,92.57
750000,BoostHT,92.4
800000,BoostHT,92.72
850000,BoostHT,92.67
900000,BoostHT,92.79
950000,BoostHT,92.48
100000,HT,84.22
150000,HT,86.26
200000,HT,87.94
250000,HT,88.78
300000,HT,89.59
350000,HT,89.85
400000,HT,90.1
450000,HT,90.14
50000,HT,78.4
500000,HT,90.35
550000,HT,90.41
600000,HT,90.82
650000,HT,90.73
700000,HT,90.95
750000,HT,91.21
800000,HT,91.11
850000,HT,91.26
900000,HT,91.52
950000,HT,91.4
