X,Algorithm,value
100000,AdaHT,10
150000,AdaHT,12
200000,AdaHT,14
250000,AdaHT,16
300000,AdaHT,16
350000,AdaHT,18
400000,AdaHT,19
450000,AdaHT,20
50000,AdaHT,6
500000,AdaHT,20
550000,AdaHT,22
600000,AdaHT,22
650000,AdaHT,23
700000,AdaHT,23
750000,AdaHT,24
800000,AdaHT,25
850000,AdaHT,25
900000,AdaHT,26
950000,AdaHT,27
100000,ASHT,0
1000000,ASHT,0
150000,ASHT,0
200000,ASHT,0
250000,ASHT,0
300000,ASHT,0
350000,ASHT,0
400000,ASHT,0
450000,ASHT,0
50000,ASHT,0
500000,ASHT,0
550000,ASHT,0
600000,ASHT,0
650000,ASHT,0
700000,ASHT,0
750000,ASHT,0
800000,ASHT,0
850000,ASHT,0
900000,ASHT,0
950000,ASHT,0
100000,BagAdaHT,12.4
1000000,BagAdaHT,26.8
150000,BagAdaHT,14.8
200000,BagAdaHT,16.8
250000,BagAdaHT,18.0
300000,BagAdaHT,19.8
350000,BagAdaHT,20.8
400000,BagAdaHT,21.8
450000,BagAdaHT,22.4
50000,BagAdaHT,8.2
500000,BagAdaHT,22.8
550000,BagAdaHT,23.8
600000,BagAdaHT,24.4
650000,BagAdaHT,25.4
700000,BagAdaHT,25.6
750000,BagAdaHT,25.8
800000,BagAdaHT,26.2
850000,BagAdaHT,26.2
900000,BagAdaHT,26.6
950000,BagAdaHT,26.8
100000,BagAdwin,10.4
1000000,BagAdwin,25.0
150000,BagAdwin,12.2
200000,BagAdwin,13.8
250000,BagAdwin,14.2
300000,BagAdwin,15.8
350000,BagAdwin,17.0
400000,BagAdwin,17.8
450000,BagAdwin,19.0
50000,BagAdwin,8.0
500000,BagAdwin,20.4
550000,BagAdwin,20.8
600000,BagAdwin,21.8
650000,BagAdwin,22.2
700000,BagAdwin,22.4
750000,BagAdwin,23.4
800000,BagAdwin,23.4
850000,BagAdwin,24.2
900000,BagAdwin,24.2
950000,BagAdwin,24.8
100000,BagASHT,1.8
1000000,BagASHT,2.2
150000,BagASHT,2.2
200000,BagASHT,1.8
250000,BagASHT,2.0
300000,BagASHT,2.8
350000,BagASHT,1.4
400000,BagASHT,0.8
450000,BagASHT,1.4
50000,BagASHT,1.2
500000,BagASHT,2.0
550000,BagASHT,2.4
600000,BagASHT,1.6
650000,BagASHT,2.0
700000,BagASHT,1.0
750000,BagASHT,1.2
800000,BagASHT,1.0
850000,BagASHT,2.2
900000,BagASHT,2.0
950000,BagASHT,0.4
100000,BagHT,10.0
1000000,BagHT,23.8
150000,BagHT,12.2
200000,BagHT,13.8
250000,BagHT,15.4
300000,BagHT,17.0
350000,BagHT,17.6
400000,BagHT,19.0
450000,BagHT,19.4
50000,BagHT,7.2
500000,BagHT,20.4
550000,BagHT,21.0
600000,BagHT,21.6
650000,BagHT,22.0
700000,BagHT,22.4
750000,BagHT,22.8
800000,BagHT,23.2
850000,BagHT,23.2
900000,BagHT,23.6
950000,BagHT,23.8
100000,BagSRHT,1.2
1000000,BagSRHT,0.6
150000,BagSRHT,1.8
200000,BagSRHT,1.0
250000,BagSRHT,2.0
300000,BagSRHT,2.4
350000,BagSRHT,1.8
400000,BagSRHT,2.2
450000,BagSRHT,2.2
50000,BagSRHT,0.6
500000,BagSRHT,1.2
550000,BagSRHT,1.6
600000,BagSRHT,0.8
650000,BagSRHT,1.4
700000,BagSRHT,1.0
750000,BagSRHT,0.8
800000,BagSRHT,1.8
850000,BagSRHT,1.4
900000,BagSRHT,2.4
950000,BagSRHT,1.6
100000,BoostAdaHT,13.8
1000000,BoostAdaHT,24.0
150000,BoostAdaHT,15.0
200000,BoostAdaHT,16.6
250000,BoostAdaHT,17.4
300000,BoostAdaHT,18.2
350000,BoostAdaHT,19.0
400000,BoostAdaHT,19.4
450000,BoostAdaHT,19.8
50000,BoostAdaHT,10.4
500000,BoostAdaHT,20.6
550000,BoostAdaHT,21.2
600000,BoostAdaHT,21.6
650000,BoostAdaHT,20.2
700000,BoostAdaHT,21.6
750000,BoostAdaHT,21.8
800000,BoostAdaHT,22.2
850000,BoostAdaHT,23.0
900000,BoostAdaHT,23.2
950000,BoostAdaHT,24.0
100000,BoostHT,0.0
1000000,BoostHT,0.0
150000,BoostHT,0.0
200000,BoostHT,0.0
250000,BoostHT,0.0
300000,BoostHT,0.0
350000,BoostHT,0.0
400000,BoostHT,0.0
450000,BoostHT,0.0
50000,BoostHT,0.0
500000,BoostHT,0.0
550000,BoostHT,0.0
600000,BoostHT,0.0
650000,BoostHT,0.0
700000,BoostHT,0.0
750000,BoostHT,0.0
800000,BoostHT,0.0
850000,BoostHT,0.0
900000,BoostHT,0.0
950000,BoostHT,0.0
100000,HT,12
150000,HT,16
200000,HT,20
250000,HT,22
300000,HT,23
350000,HT,24
400000,HT,26
450000,HT,28
50000,HT,8
500000,HT,28
550000,HT,29
600000,HT,30
650000,HT,30
700000,HT,30
750000,HT,30
800000,HT,30
850000,HT,30
900000,HT,30
950000,HT,30
