X,Algorithm,value
100000,AdaHT,78.35
150000,AdaHT,80.47
200000,AdaHT,81.85
250000,AdaHT,82.68
300000,AdaHT,82.48
350000,AdaHT,83.37
400000,AdaHT,83.05
450000,AdaHT,82.91
50000,AdaHT,67.04
500000,AdaHT,83.3
550000,AdaHT,83.49
600000,AdaHT,83.62
650000,AdaHT,83.91
700000,AdaHT,84.0
750000,AdaHT,84.39
800000,AdaHT,84.33
850000,AdaHT,84.43
900000,AdaHT,84.66
950000,AdaHT,84.49
100000,ASHT,29.95
1000000,ASHT,29.3
150000,ASHT,30.55
200000,ASHT,29.29
250000,ASHT,29.41
300000,ASHT,30.02
350000,ASHT,29.9
400000,ASHT,30.94
450000,ASHT,29.08
50000,ASHT,29.34
500000,ASHT,29.8
550000,ASHT,28.45
600000,ASHT,29.29
650000,ASHT,29.78
700000,ASHT,29.09
750000,ASHT,28.56
800000,ASHT,30.41
850000,ASHT,28.55
900000,ASHT,29.01
950000,ASHT,30.28
100000,BagAdaHT,84.63
1000000,BagAdaHT,90.25
150000,BagAdaHT,86.54
200000,BagAdaHT,87.45
250000,BagAdaHT,87.66
300000,BagAdaHT,88.64
350000,BagAdaHT,89.26
400000,BagAdaHT,89.22
450000,BagAdaHT,89.14
50000,BagAdaHT,74.72
500000,BagAdaHT,89.45
550000,BagAdaHT,89.59
600000,BagAdaHT,89.25
650000,BagAdaHT,89.67
700000,BagAdaHT,90.02
750000,BagAdaHT,89.81
800000,BagAdaHT,89.77
850000,BagAdaHT,90.1
900000,BagAdaHT,90.13
950000,BagAdaHT,90.34
100000,BagAdwin,80.54
1000000,BagAdwin,89.8
150000,BagAdwin,83.84
200000,BagAdwin,85.26
250000,BagAdwin,86.54
300000,BagAdwin,86.68
350000,BagAdwin,87.42
400000,BagAdwin,87.92
450000,BagAdwin,88.05
50000,BagAdwin,61.71
500000,BagAdwin,87.92
550000,BagAdwin,88.56
600000,BagAdwin,88.5
650000,BagAdwin,88.84
700000,BagAdwin,88.49
750000,BagAdwin,89.33
800000,BagAdwin,89.18
850000,BagAdwin,89.32
900000,BagAdwin,89.26
950000,BagAdwin,89.61
100000,BagASHT,48.03
1000000,BagASHT,45.69
150000,BagASHT,44.59
200000,BagASHT,45.43
250000,BagASHT,46.5
300000,BagASHT,43.37
350000,BagASHT,46.04
400000,BagASHT,47.02
450000,BagASHT,41.71
50000,BagASHT,42.61
500000,BagASHT,45.5
550000,BagASHT,43.29
600000,BagASHT,44.16
650000,BagASHT,46.64
700000,BagASHT,47.96
750000,BagASHT,44.32
800000,BagASHT,45.65
850000,BagASHT,44.37
900000,BagASHT,48.68
950000,BagASHT,42.55
100000,BagHT,73.58
1000000,BagHT,84.3
150000,BagHT,77.01
200000,BagHT,79.12
250000,BagHT,79.85
300000,BagHT,80.49
350000,BagHT,82.41
400000,BagHT,82.38
450000,BagHT,82.85
50000,BagHT,57.85
500000,BagHT,82.39
550000,BagHT,82.97
600000,BagHT,83.6
650000,BagHT,83.62
700000,BagHT,83.99
750000,BagHT,84.08
800000,BagHT,84.62
850000,BagHT,84.56
900000,BagHT,84.41
950000,BagHT,84.61
100000,BagSRHT,44.47
1000000,BagSRHT,44.09
150000,BagSRHT,44.61
200000,BagSRHT,45.97
250000,BagSRHT,43.4
300000,BagSRHT,44.81
350000,BagSRHT,44.49
400000,BagSRHT,43.52
450000,BagSRHT,43.07
50000,BagSRHT,43.08
500000,BagSRHT,43.69
550000,BagSRHT,44.09
600000,BagSRHT,43.14
650000,BagSRHT,42.96
700000,BagSRHT,43.91
750000,BagSRHT,43.24
800000,BagSRHT,45.19
850000,BagSRHT,44.54
900000,BagSRHT,44.71
950000,BagSRHT,44.67
100000,BoostAdaHT,79.28
1000000,BoostAdaHT,84.98
150000,BoostAdaHT,81.07
200000,BoostAdaHT,82.03
250000,BoostAdaHT,82.69
300000,BoostAdaHT,83.24
350000,BoostAdaHT,83.73
400000,BoostAdaHT,83.74
450000,BoostAdaHT,84.29
50000,BoostAdaHT,67.62
500000,BoostAdaHT,84.46
550000,BoostAdaHT,84.73
600000,BoostAdaHT,84.12
650000,BoostAdaHT,84.26
700000,BoostAdaHT,84.22
750000,BoostAdaHT,84.99
800000,BoostAdaHT,84.77
850000,BoostAdaHT,84.96
900000,BoostAdaHT,84.82
950000,BoostAdaHT,85.27
100000,BoostHT,77.95
1000000,BoostHT,84.82
150000,BoostHT,80.34
200000,BoostHT,81.31
250000,BoostHT,81.85
300000,BoostHT,82.1
350000,BoostHT,82.96
400000,BoostHT,83.22
450000,BoostHT,83.52
50000,BoostHT,65.41
500000,BoostHT,83.63
550000,BoostHT,83.84
600000,BoostHT,83.76
650000,BoostHT,84.09
700000,BoostHT,84.3
750000,BoostHT,83.82
800000,BoostHT,84.54
850000,BoostHT,84.51
900000,BoostHT,84.7
950000,BoostHT,84.04
100000,HT,67.92
150000,HT,71.99
200000,HT,75.45
250000,HT,77.12
300000,HT,78.75
350000,HT,79.32
400000,HT,79.81
450000,HT,79.88
50000,HT,55.99
500000,HT,80.36
550000,HT,80.43
600000,HT,81.29
650000,HT,81.11
700000,HT,81.55
750000,HT,82.1
800000,HT,81.87
850000,HT,82.18
900000,HT,82.75
950000,HT,82.5
