X,Algorithm,value
100000,AdaHT,0
150000,AdaHT,0
200000,AdaHT,0
250000,AdaHT,0
300000,AdaHT,0
350000,AdaHT,0
400000,AdaHT,0
450000,AdaHT,0
50000,AdaHT,0
500000,AdaHT,0
550000,AdaHT,0
600000,AdaHT,0
650000,AdaHT,0
700000,AdaHT,0
750000,AdaHT,0
800000,AdaHT,0
850000,AdaHT,0
900000,AdaHT,0
950000,AdaHT,0
100000,ASHT,29
1000000,ASHT,294
150000,ASHT,44
200000,ASHT,58
250000,ASHT,73
300000,ASHT,88
350000,ASHT,102
400000,ASHT,117
450000,ASHT,132
50000,ASHT,14
500000,ASHT,147
550000,ASHT,161
600000,ASHT,176
650000,ASHT,191
700000,ASHT,205
750000,ASHT,220
800000,ASHT,235
850000,ASHT,250
900000,ASHT,264
950000,ASHT,279
100000,BagAdaHT,0.0
1000000,BagAdaHT,0.0
150000,BagAdaHT,0.0
200000,BagAdaHT,0.0
250000,BagAdaHT,0.0
300000,BagAdaHT,0.0
350000,BagAdaHT,0.0
400000,BagAdaHT,0.0
450000,BagAdaHT,0.0
50000,BagAdaHT,0.0
500000,BagAdaHT,0.0
550000,BagAdaHT,0.0
600000,BagAdaHT,0.0
650000,BagAdaHT,0.0
700000,BagAdaHT,0.0
750000,BagAdaHT,0.0
800000,BagAdaHT,0.0
850000,BagAdaHT,0.0
900000,BagAdaHT,0.0
950000,BagAdaHT,0.0
100000,BagAdwin,0.0
1000000,BagAdwin,0.0
150000,BagAdwin,0.0
200000,BagAdwin,0.0
250000,BagAdwin,0.0
300000,BagAdwin,0.0
350000,BagAdwin,0.0
400000,BagAdwin,0.0
450000,BagAdwin,0.0
50000,BagAdwin,0.0
500000,BagAdwin,0.0
550000,BagAdwin,0.0
600000,BagAdwin,0.0
650000,BagAdwin,0.0
700000,BagAdwin,0.0
750000,BagAdwin,0.0
800000,BagAdwin,0.0
850000,BagAdwin,0.0
900000,BagAdwin,0.0
950000,BagAdwin,0.0
100000,BagASHT,5.65
1000000,BagASHT,59.97
150000,BagASHT,8.48
200000,BagASHT,11.61
250000,BagASHT,14.48
300000,BagASHT,17.19
350000,BagASHT,20.52
400000,BagASHT,23.68
450000,BagASHT,26.48
50000,BagASHT,2.84
500000,BagASHT,29.42
550000,BagASHT,32.26
600000,BagASHT,35.45
650000,BagASHT,38.32
700000,BagASHT,41.81
750000,BagASHT,44.74
800000,BagASHT,47.87
850000,BagASHT,50.58
900000,BagASHT,53.52
950000,BagASHT,57.23
100000,BagHT,0.0
1000000,BagHT,0.0
150000,BagHT,0.0
200000,BagHT,0.0
250000,BagHT,0.0
300000,BagHT,0.0
350000,BagHT,0.0
400000,BagHT,0.0
450000,BagHT,0.0
50000,BagHT,0.0
500000,BagHT,0.0
550000,BagHT,0.0
600000,BagHT,0.0
650000,BagHT,0.0
700000,BagHT,0.0
750000,BagHT,0.0
800000,BagHT,0.0
850000,BagHT,0.0
900000,BagHT,0.0
950000,BagHT,0.0
100000,BagSRHT,9.0
1000000,BagSRHT,149.0
150000,BagSRHT,16.0
200000,BagSRHT,25.0
250000,BagSRHT,32.0
300000,BagSRHT,40.0
350000,BagSRHT,47.0
400000,BagSRHT,55.0
450000,BagSRHT,62.0
50000,BagSRHT,2.0
500000,BagSRHT,71.0
550000,BagSRHT,79.0
600000,BagSRHT,87.0
650000,BagSRHT,95.0
700000,BagSRHT,103.0
750000,BagSRHT,111.0
800000,BagSRHT,118.0
850000,BagSRHT,126.0
900000,BagSRHT,133.0
950000,BagSRHT,141.0
100000,BoostAdaHT,0.0
1000000,BoostAdaHT,0.0
150000,BoostAdaHT,0.0
200000,BoostAdaHT,0.0
250000,BoostAdaHT,0.0
300000,BoostAdaHT,0.0
350000,BoostAdaHT,0.0
400000,BoostAdaHT,0.0
450000,BoostAdaHT,0.0
50000,BoostAdaHT,0.0
500000,BoostAdaHT,0.0
550000,BoostAdaHT,0.0
600000,BoostAdaHT,0.0
650000,BoostAdaHT,0.0
700000,BoostAdaHT,0.0
750000,BoostAdaHT,0.0
800000,BoostAdaHT,0.0
850000,BoostAdaHT,0.0
900000,BoostAdaHT,0.0
950000,BoostAdaHT,0.0
100000,BoostHT,0.0
1000000,BoostHT,0.0
150000,BoostHT,0.0
200000,BoostHT,0.0
250000,BoostHT,0.0
300000,BoostHT,0.0
350000,BoostHT,0.0
400000,BoostHT,0.0
450000,BoostHT,0.0
50000,BoostHT,0.0
500000,BoostHT,0.0
550000,BoostHT,0.0
600000,BoostHT,0.0
650000,BoostHT,0.0
700000,BoostHT,0.0
750000,BoostHT,0.0
800000,BoostHT,0.0
850000,BoostHT,0.0
900000,BoostHT,0.0
950000,BoostHT,0.0
100000,HT,0
150000,HT,0
200000,HT,0
250000,HT,0
300000,HT,0
350000,HT,0
400000,HT,0
450000,HT,0
50000,HT,0
500000,HT,0
550000,HT,0
600000,HT,0
650000,HT,0
700000,HT,0
750000,HT,0
800000,HT,0
850000,HT,0
900000,HT,0
950000,HT,0
