X,Algorithm,value
100000,AdaHT,12.209
150000,AdaHT,17.259
200000,AdaHT,21.806
250000,AdaHT,25.94
300000,AdaHT,29.627
350000,AdaHT,32.898
400000,AdaHT,35.735
450000,AdaHT,38.182
50000,AdaHT,6.75
500000,AdaHT,40.003
550000,AdaHT,42.299
600000,AdaHT,48.594
650000,AdaHT,54.837
700000,AdaHT,60.271
750000,AdaHT,65.253
800000,AdaHT,69.706
850000,AdaHT,73.722
900000,AdaHT,77.262
950000,AdaHT,80.362
100000,ASHT,13.38
1000000,ASHT,76.023
150000,ASHT,18.486
200000,ASHT,23.013
250000,ASHT,27.037
300000,ASHT,30.478
350000,ASHT,33.316
400000,ASHT,35.625
450000,ASHT,37.364
50000,ASHT,7.559
500000,ASHT,38.457
550000,ASHT,39.934
600000,ASHT,46.254
650000,ASHT,51.984
700000,ASHT,57.126
750000,ASHT,61.72
800000,ASHT,65.705
850000,ASHT,69.114
900000,ASHT,71.956
950000,ASHT,74.273
100000,BagAdaHT,20.794
1000000,BagAdaHT,178.456
150000,BagAdaHT,29.502
200000,BagAdaHT,37.729
250000,BagAdaHT,45.562
300000,BagAdaHT,53.818
350000,BagAdaHT,61.463
400000,BagAdaHT,68.673
450000,BagAdaHT,75.266
50000,BagAdaHT,11.573
500000,BagAdaHT,81.308
550000,BagAdaHT,88.202
600000,BagAdaHT,101.414
650000,BagAdaHT,113.164
700000,BagAdaHT,123.871
750000,BagAdaHT,133.783
800000,BagAdaHT,144.257
850000,BagAdaHT,153.979
900000,BagAdaHT,162.883
950000,BagAdaHT,170.992
100000,BagAdwin,22.522
1000000,BagAdwin,125.129
150000,BagAdwin,30.376
200000,BagAdwin,37.042
250000,BagAdwin,42.875
300000,BagAdwin,48.726
350000,BagAdwin,53.613
400000,BagAdwin,57.898
450000,BagAdwin,61.447
50000,BagAdwin,13.21
500000,BagAdwin,64.255
550000,BagAdwin,67.576
600000,BagAdwin,78.163
650000,BagAdwin,86.507
700000,BagAdwin,93.723
750000,BagAdwin,100.21
800000,BagAdwin,106.004
850000,BagAdwin,111.856
900000,BagAdwin,117.057
950000,BagAdwin,121.456
100000,BagASHT,20.019
1000000,BagASHT,143.146
150000,BagASHT,28.548
200000,BagASHT,37.518
250000,BagASHT,45.082
300000,BagASHT,51.518
350000,BagASHT,56.929
400000,BagASHT,61.43
450000,BagASHT,64.903
50000,BagASHT,10.239
500000,BagASHT,67.65
550000,BagASHT,70.757
600000,BagASHT,86.616
650000,BagASHT,95.128
700000,BagASHT,104.592
750000,BagASHT,114.571
800000,BagASHT,123.036
850000,BagASHT,129.926
900000,BagASHT,135.564
950000,BagASHT,139.754
100000,BagHT,21.431
1000000,BagHT,115.119
150000,BagHT,29.27
200000,BagHT,35.84
250000,BagHT,41.223
300000,BagHT,45.841
350000,BagHT,49.827
400000,BagHT,53.492
450000,BagHT,56.514
50000,BagHT,12.147
500000,BagHT,58.912
550000,BagHT,61.518
600000,BagHT,71.978
650000,BagHT,80.802
700000,BagHT,88.306
750000,BagHT,94.759
800000,BagHT,100.137
850000,BagHT,104.629
900000,BagHT,108.728
950000,BagHT,112.249
100000,BagSRHT,15.472
1000000,BagSRHT,170.574
150000,BagSRHT,24.727
200000,BagSRHT,32.679
250000,BagSRHT,41.182
300000,BagSRHT,49.597
350000,BagSRHT,58.23
400000,BagSRHT,67.556
450000,BagSRHT,75.791
50000,BagSRHT,5.946
500000,BagSRHT,84.671
550000,BagSRHT,93.127
600000,BagSRHT,101.306
650000,BagSRHT,110.004
700000,BagSRHT,118.331
750000,BagSRHT,127.03
800000,BagSRHT,135.798
850000,BagSRHT,144.13
900000,BagSRHT,152.615
950000,BagSRHT,161.183
100000,BoostAdaHT,24.019
1000000,BoostAdaHT,185.982
150000,BoostAdaHT,33.549
200000,BoostAdaHT,42.388
250000,BoostAdaHT,51.755
300000,BoostAdaHT,60.671
350000,BoostAdaHT,68.58
400000,BoostAdaHT,75.798
450000,BoostAdaHT,82.282
50000,BoostAdaHT,13.107
500000,BoostAdaHT,88.106
550000,BoostAdaHT,94.357
600000,BoostAdaHT,108.447
650000,BoostAdaHT,120.357
700000,BoostAdaHT,130.894
750000,BoostAdaHT,142.561
800000,BoostAdaHT,153.159
850000,BoostAdaHT,162.705
900000,BoostAdaHT,171.198
950000,BoostAdaHT,178.892
100000,BoostHT,24.013
1000000,BoostHT,135.582
150000,BoostHT,31.707
200000,BoostHT,39.127
250000,BoostHT,45.668
300000,BoostHT,52.271
350000,BoostHT,59.677
400000,BoostHT,64.147
450000,BoostHT,67.405
50000,BoostHT,14.873
500000,BoostHT,70.285
550000,BoostHT,73.862
600000,BoostHT,84.128
650000,BoostHT,92.347
700000,BoostHT,99.28
750000,BoostHT,108.9
800000,BoostHT,116.145
850000,BoostHT,122.807
900000,BoostHT,128.006
950000,BoostHT,132.247
100000,HT,11.382
150000,HT,15.678
200000,HT,19.504
250000,HT,22.83
300000,HT,25.72
350000,HT,28.124
400000,HT,30.014
450000,HT,31.458
50000,HT,6.604
500000,HT,32.35
550000,HT,34.104
600000,HT,39.358
650000,HT,44.112
700000,HT,48.469
750000,HT,52.354
800000,HT,55.77
850000,HT,58.716
900000,HT,61.151
950000,HT,63.073
