X,Algorithm,value
100000,AdaHT,121
150000,AdaHT,183
200000,AdaHT,233
250000,AdaHT,293
300000,AdaHT,357
350000,AdaHT,407
400000,AdaHT,457
450000,AdaHT,529
50000,AdaHT,55
500000,AdaHT,575
550000,AdaHT,637
600000,AdaHT,685
650000,AdaHT,741
700000,AdaHT,795
750000,AdaHT,835
800000,AdaHT,883
850000,AdaHT,921
900000,AdaHT,959
950000,AdaHT,1031
100000,ASHT,1
1000000,ASHT,1
150000,ASHT,1
200000,ASHT,1
250000,ASHT,1
300000,ASHT,1
350000,ASHT,1
400000,ASHT,1
450000,ASHT,1
50000,ASHT,1
500000,ASHT,1
550000,ASHT,1
600000,ASHT,1
650000,ASHT,1
700000,ASHT,1
750000,ASHT,1
800000,ASHT,1
850000,ASHT,0
900000,ASHT,1
950000,ASHT,1
100000,BagAdaHT,669
1000000,BagAdaHT,5567
150000,BagAdaHT,985
200000,BagAdaHT,1311
250000,BagAdaHT,1613
300000,BagAdaHT,1927
350000,BagAdaHT,2227
400000,BagAdaHT,2505
450000,BagAdaHT,2789
50000,BagAdaHT,331
500000,BagAdaHT,3029
550000,BagAdaHT,3305
600000,BagAdaHT,3559
650000,BagAdaHT,3843
700000,BagAdaHT,4099
750000,BagAdaHT,4365
800000,BagAdaHT,4615
850000,BagAdaHT,4885
900000,BagAdaHT,5149
950000,BagAdaHT,5363
100000,BagAdwin,443
1000000,BagAdwin,4221
150000,BagAdwin,683
200000,BagAdwin,915
250000,BagAdwin,1121
300000,BagAdwin,1331
350000,BagAdwin,1561
400000,BagAdwin,1803
450000,BagAdwin,2047
50000,BagAdwin,199
500000,BagAdwin,2263
550000,BagAdwin,2499
600000,BagAdwin,2723
650000,BagAdwin,2915
700000,BagAdwin,3109
750000,BagAdwin,3323
800000,BagAdwin,3487
850000,BagAdwin,3673
900000,BagAdwin,3851
950000,BagAdwin,4037
100000,BagASHT,33
1000000,BagASHT,39
150000,BagASHT,35
200000,BagASHT,29
250000,BagASHT,31
300000,BagASHT,47
350000,BagASHT,27
400000,BagASHT,13
450000,BagASHT,25
50000,BagASHT,17
500000,BagASHT,27
550000,BagASHT,35
600000,BagASHT,25
650000,BagASHT,39
700000,BagASHT,15
750000,BagASHT,19
800000,BagASHT,15
850000,BagASHT,35
900000,BagASHT,39
950000,BagASHT,9
100000,BagHT,393
1000000,BagHT,3983
150000,BagHT,629
200000,BagHT,867
250000,BagHT,1055
300000,BagHT,1283
350000,BagHT,1485
400000,BagHT,1699
450000,BagHT,1895
50000,BagHT,207
500000,BagHT,2137
550000,BagHT,2347
600000,BagHT,2537
650000,BagHT,2741
700000,BagHT,2927
750000,BagHT,3115
800000,BagHT,3275
850000,BagHT,3435
900000,BagHT,3645
950000,BagHT,3819
100000,BagSRHT,19
1000000,BagSRHT,15
150000,BagSRHT,29
200000,BagSRHT,21
250000,BagSRHT,31
300000,BagSRHT,33
350000,BagSRHT,29
400000,BagSRHT,41
450000,BagSRHT,43
50000,BagSRHT,11
500000,BagSRHT,33
550000,BagSRHT,35
600000,BagSRHT,13
650000,BagSRHT,21
700000,BagSRHT,15
750000,BagSRHT,15
800000,BagSRHT,31
850000,BagSRHT,29
900000,BagSRHT,37
950000,BagSRHT,39
100000,BoostAdaHT,585
1000000,BoostAdaHT,6486
150000,BoostAdaHT,913
200000,BoostAdaHT,1242
250000,BoostAdaHT,1584
300000,BoostAdaHT,1898
350000,BoostAdaHT,2248
400000,BoostAdaHT,2598
450000,BoostAdaHT,2926
50000,BoostAdaHT,283
500000,BoostAdaHT,3254
550000,BoostAdaHT,3513
600000,BoostAdaHT,3864
650000,BoostAdaHT,4198
700000,BoostAdaHT,4524
750000,BoostAdaHT,4850
800000,BoostAdaHT,5170
850000,BoostAdaHT,5484
900000,BoostAdaHT,5823
950000,BoostAdaHT,6153
100000,BoostHT,391
1000000,BoostHT,4221
150000,BoostHT,615
200000,BoostHT,831
250000,BoostHT,1009
300000,BoostHT,1233
350000,BoostHT,1425
400000,BoostHT,1641
450000,BoostHT,1849
50000,BoostHT,201
500000,BoostHT,2107
550000,BoostHT,2313
600000,BoostHT,2537
650000,BoostHT,2737
700000,BoostHT,2967
750000,BoostHT,3183
800000,BoostHT,3389
850000,BoostHT,3591
900000,BoostHT,3791
950000,BoostHT,4019
100000,HT,85
150000,HT,131
200000,HT,181
250000,HT,221
300000,HT,271
350000,HT,305
400000,HT,341
450000,HT,381
50000,HT,43
500000,HT,419
550000,HT,471
600000,HT,509
650000,HT,543
700000,HT,591
750000,HT,623
800000,HT,665
850000,HT,719
900000,HT,761
950000,HT,797
