X,Algorithm,value
50000,AdaHT,65.79
50000,ASHT,54.95
50000,BagAdaHT,69.88
50000,BagAdwin,68.03
100000,BagASHT,67.76
1000000,BagASHT,68.18
150000,BagASHT,68.16
200000,BagASHT,68.26
250000,BagASHT,67.96
300000,BagASHT,69.1
350000,BagASHT,69.38
400000,BagASHT,69.58
450000,BagASHT,68.81
50000,BagASHT,68.31
500000,BagASHT,68.54
550000,BagASHT,67.62
600000,BagASHT,67.42
650000,BagASHT,68.84
700000,BagASHT,67.75
750000,BagASHT,67.66
800000,BagASHT,68.1
850000,BagASHT,67.36
900000,BagASHT,67.74
950000,BagASHT,68.9
50000,BagHT,66.36
100000,BagSRHT,68.78
1000000,BagSRHT,69.93
150000,BagSRHT,70.21
200000,BagSRHT,69.61
250000,BagSRHT,70.24
300000,BagSRHT,70.62
350000,BagSRHT,70.85
400000,BagSRHT,71.34
450000,BagSRHT,70.41
50000,BagSRHT,68.91
500000,BagSRHT,70.24
550000,BagSRHT,69.83
600000,BagSRHT,70.24
650000,BagSRHT,70.52
700000,BagSRHT,69.02
750000,BagSRHT,69.4
800000,BagSRHT,69.52
850000,BagSRHT,69.96
900000,BagSRHT,69.72
950000,BagSRHT,69.82
50000,BoostAdaHT,72.84
50000,BoostHT,71.01
50000,HT,62.95
