X,Algorithm,value
50000,AdaHT,76.72
50000,ASHT,72.22
50000,BagAdaHT,78.58
50000,BagAdwin,78.8
100000,BagASHT,80.7
1000000,BagASHT,81.8
150000,BagASHT,81.86
200000,BagASHT,76.48
250000,BagASHT,81.96
300000,BagASHT,82.26
350000,BagASHT,82.7
400000,BagASHT,83.14
450000,BagASHT,71.8
50000,BagASHT,78.0
500000,BagASHT,76.16
550000,BagASHT,78.48
600000,BagASHT,79.62
650000,BagASHT,81.62
700000,BagASHT,81.44
750000,BagASHT,80.02
800000,BagASHT,70.84
850000,BagASHT,76.02
900000,BagASHT,78.88
950000,BagASHT,78.26
50000,BagHT,85.06
100000,BagSRHT,75.44
1000000,BagSRHT,75.46
150000,BagSRHT,75.26
200000,BagSRHT,73.42
250000,BagSRHT,75.6
300000,BagSRHT,76.58
350000,BagSRHT,77.6
400000,BagSRHT,79.12
450000,BagSRHT,79.68
50000,BagSRHT,73.18
500000,BagSRHT,74.94
550000,BagSRHT,76.52
600000,BagSRHT,76.76
650000,BagSRHT,76.36
700000,BagSRHT,78.9
750000,BagSRHT,77.26
800000,BagSRHT,73.9
850000,BagSRHT,76.28
900000,BagSRHT,75.64
950000,BagSRHT,77.22
50000,BoostAdaHT,80.02
50000,BoostHT,80.88
50000,HT,73.08
